modbus,,,,,
设备名,设备地址,SEQCRC,SEQ2,SEQ4,SEQF
ZBL,1,12,21,4321,2143
点名,命令号,地址,值类型,描述,单位
DOST1,1,0,BIT,,RDO
DOST2,1,1,BIT,,
DOST3,1,2,BIT,,
DOST4,1,3,BIT,,
DOST5,1,4,BIT,,
DOST6,1,5,BIT,,
DOST7,1,6,BIT,,
DOST8,1,7,BIT,,
DI1,2,0,BIT,,RDI
DI2,2,1,BIT,,
DI3,2,2,BIT,,
DI4,2,3,BIT,,
DI5,2,4,BIT,,
DI6,2,5,BIT,,
DI7,2,6,BIT,,
DI8,2,7,BIT,,
HD_SNVAL,3,0,SHORT,,RHD
HD_WVAL,3,1,WORD,,
HD_LONG,3,2,LONG,,
HD_DWORD,3,4,DWORD,,
HD_FLOAT1,3,6,FLOAT,,
HD_FLOAT2,3,8,FLOAT,,
HD_FLOAT3,3,10,FLOAT,,
HD_FLOAT4,3,12,FLOAT,,
AI_SNVAL,4,0,SHORT,,RI
AI_WORD,4,1,WORD,,
AI_LONG,4,2,LONG,,
AI_DOWRD,4,4,DWORD,,
AI_FLOAT1,4,6,FLOAT,,
AI_FLOAT2,4,8,FLOAT,,
AI_FLOAT3,4,10,FLOAT,,
AI_FLOAT4,4,12,FLOAT,,
DO1,5,0,BIT,,FSD
DO2,5,1,BIT,,
DO3,5,2,BIT,,
DO4,5,3,BIT,,
DO5,5,4,BIT,,
DO6,5,5,BIT,,
DO7,5,6,BIT,,
DO8,5,7,BIT,,
AOSNVAL,6,0,SHORT,,PSR
AOWORD,6,1,WORD,,
AOLONG,6,2,LONG,,
AODWORD,16,4,DWORD,,PMR
AOFLOAT1,16,6,FLOAT
AOFLOAT2,16,8,FLOAT
AOFLOAT3,16,10,FLOAT
AOFLOAT4,16,12,FLOAT
